Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time,Latitude,Longitude,Elevation,Habitant
486,489,phylloscopus humei,hume's warbler,0.9941,psh10,2024,6,4,6,33.13514,76.463139,3664,1
486,489,tarsiger rufilatus,himalayan bluetail,0.9839,psh10,2024,6,4,6,33.13514,76.463139,3664,1
492,495,tarsiger rufilatus,himalayan bluetail,0.5289,psh10,2024,6,4,6,33.13514,76.463139,3664,1
501,504,tarsiger rufilatus,himalayan bluetail,0.7441,psh10,2024,6,4,6,33.13514,76.463139,3664,1
507,510,phylloscopus humei,hume's warbler,0.9238,psh10,2024,6,4,6,33.13514,76.463139,3664,1
513,516,phylloscopus humei,hume's warbler,0.5305,psh10,2024,6,4,6,33.13514,76.463139,3664,1
516,519,trochalopteron variegatum,variegated laughingthrush,0.7235,psh10,2024,6,4,6,33.13514,76.463139,3664,1
525,528,trochalopteron variegatum,variegated laughingthrush,0.7039,psh10,2024,6,4,6,33.13514,76.463139,3664,1
534,537,phylloscopus humei,hume's warbler,0.8042,psh10,2024,6,4,6,33.13514,76.463139,3664,1
540,543,trochalopteron variegatum,variegated laughingthrush,0.6423,psh10,2024,6,4,6,33.13514,76.463139,3664,1
543,546,phylloscopus humei,hume's warbler,0.8678,psh10,2024,6,4,6,33.13514,76.463139,3664,1
546,549,phylloscopus humei,hume's warbler,0.8301,psh10,2024,6,4,6,33.13514,76.463139,3664,1
549,552,phylloscopus humei,hume's warbler,0.6343,psh10,2024,6,4,6,33.13514,76.463139,3664,1
558,561,phylloscopus humei,hume's warbler,0.9531,psh10,2024,6,4,6,33.13514,76.463139,3664,1
561,564,trochalopteron variegatum,variegated laughingthrush,0.7414,psh10,2024,6,4,6,33.13514,76.463139,3664,1
564,567,phylloscopus humei,hume's warbler,0.5091,psh10,2024,6,4,6,33.13514,76.463139,3664,1
570,573,trochalopteron variegatum,variegated laughingthrush,0.7376,psh10,2024,6,4,6,33.13514,76.463139,3664,1
573,576,phylloscopus humei,hume's warbler,0.7782,psh10,2024,6,4,6,33.13514,76.463139,3664,1
582,585,phylloscopus humei,hume's warbler,0.845,psh10,2024,6,4,6,33.13514,76.463139,3664,1
597,600,phylloscopus humei,hume's warbler,0.9849,psh10,2024,6,4,6,33.13514,76.463139,3664,1
606,609,phylloscopus humei,hume's warbler,0.9952,psh10,2024,6,4,6,33.13514,76.463139,3664,1
612,615,phylloscopus humei,hume's warbler,0.765,psh10,2024,6,4,6,33.13514,76.463139,3664,1
615,618,phylloscopus humei,hume's warbler,0.9952,psh10,2024,6,4,6,33.13514,76.463139,3664,1
621,624,phylloscopus humei,hume's warbler,0.9161,psh10,2024,6,4,6,33.13514,76.463139,3664,1
627,630,phylloscopus humei,hume's warbler,0.8474,psh10,2024,6,4,6,33.13514,76.463139,3664,1
636,639,phylloscopus humei,hume's warbler,0.7299,psh10,2024,6,4,6,33.13514,76.463139,3664,1
636,639,phylloscopus trochiloides,greenish warbler,0.5938,psh10,2024,6,4,6,33.13514,76.463139,3664,1
639,642,phylloscopus nitidus,green warbler,0.6921,psh10,2024,6,4,6,33.13514,76.463139,3664,0
642,645,phylloscopus humei,hume's warbler,0.9005,psh10,2024,6,4,6,33.13514,76.463139,3664,1
648,651,phylloscopus humei,hume's warbler,0.9274,psh10,2024,6,4,6,33.13514,76.463139,3664,1
663,666,phylloscopus humei,hume's warbler,0.9771,psh10,2024,6,4,6,33.13514,76.463139,3664,1
672,675,phylloscopus humei,hume's warbler,0.9814,psh10,2024,6,4,6,33.13514,76.463139,3664,1
681,684,phylloscopus humei,hume's warbler,0.9886,psh10,2024,6,4,6,33.13514,76.463139,3664,1
687,690,phylloscopus nitidus,green warbler,0.718,psh10,2024,6,4,6,33.13514,76.463139,3664,0
690,693,phylloscopus humei,hume's warbler,0.9933,psh10,2024,6,4,6,33.13514,76.463139,3664,1
699,702,phylloscopus humei,hume's warbler,0.9949,psh10,2024,6,4,6,33.13514,76.463139,3664,1
