Start (s),End (s),Common name,Confidence,ID,Month,Day,Time,Latitude,Longitude,Elevation,Habitant,Elevation_type
570.0,573.0,variegated laughingthrush,0.7376,psh10,6,4,6,33.13514,76.463139,3664,1,high
573.0,576.0,hume's warbler,0.7782,psh10,6,4,6,33.13514,76.463139,3664,1,high
582.0,585.0,hume's warbler,0.845,psh10,6,4,6,33.13514,76.463139,3664,1,high
597.0,600.0,hume's warbler,0.9849,psh10,6,4,6,33.13514,76.463139,3664,1,high
606.0,609.0,hume's warbler,0.9952,psh10,6,4,6,33.13514,76.463139,3664,1,high
612.0,615.0,hume's warbler,0.765,psh10,6,4,6,33.13514,76.463139,3664,1,high
615.0,618.0,hume's warbler,0.9952,psh10,6,4,6,33.13514,76.463139,3664,1,high
621.0,624.0,hume's warbler,0.9161,psh10,6,4,6,33.13514,76.463139,3664,1,high
627.0,630.0,hume's warbler,0.8474,psh10,6,4,6,33.13514,76.463139,3664,1,high
636.0,639.0,hume's warbler,0.7299,psh10,6,4,6,33.13514,76.463139,3664,1,high
636.0,639.0,greenish warbler,0.5938,psh10,6,4,6,33.13514,76.463139,3664,1,high
639.0,642.0,green warbler,0.6921,psh10,6,4,6,33.13514,76.463139,3664,0,high
642.0,645.0,hume's warbler,0.9005,psh10,6,4,6,33.13514,76.463139,3664,1,high
648.0,651.0,hume's warbler,0.9274,psh10,6,4,6,33.13514,76.463139,3664,1,high
663.0,666.0,hume's warbler,0.9771,psh10,6,4,6,33.13514,76.463139,3664,1,high
672.0,675.0,hume's warbler,0.9814,psh10,6,4,6,33.13514,76.463139,3664,1,high
681.0,684.0,hume's warbler,0.9886,psh10,6,4,6,33.13514,76.463139,3664,1,high
687.0,690.0,green warbler,0.718,psh10,6,4,6,33.13514,76.463139,3664,0,high
690.0,693.0,hume's warbler,0.9933,psh10,6,4,6,33.13514,76.463139,3664,1,high
699.0,702.0,hume's warbler,0.9949,psh10,6,4,6,33.13514,76.463139,3664,1,high
