Start (s),End (s),Scientific name,Common name,Confidence,File Name,Latitude,Longitude,Elevation,Year,Month,Day,Time,Buzz
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9836,XC687873,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9343,XC687873,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9922,XC472919,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9956,XC472919,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.991,XC472919,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9948,XC472919,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9578,XC472919,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.976,XC472919,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9232,XC472919,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.905,XC472919,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9089,XC772387,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9496,XC772387,,,,,,,,
24.0,27.0,Certhia brachydactyla,Short-toed Treecreeper,0.9775,XC772387,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9985,XC120496,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9788,XC120496,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9879,XC120496,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9982,XC120496,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9936,XC120496,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.995,XC120496,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9973,XC120496,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9951,XC120496,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9975,XC120496,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9961,XC472917,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.993,XC472917,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9959,XC472917,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9865,XC472917,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9971,XC472917,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9946,XC472917,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9934,XC472917,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9977,XC472917,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.99,XC472917,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9963,XC611883,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9946,XC611883,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.964,XC611883,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.964,XC611883,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9615,XC611883,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9851,XC611883,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9779,XC116652,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9675,XC116652,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9674,XC116652,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9453,XC116652,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9713,XC116652,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9875,XC116652,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9775,XC116652,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9636,XC116652,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9834,XC116652,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9946,XC116652,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9047,XC180188,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9439,XC149330,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9701,XC149330,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9516,XC149330,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9114,XC149330,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9441,XC149330,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9826,XC698040,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9884,XC698040,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9956,XC698040,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9824,XC698040,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9561,XC698040,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9946,XC698040,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9975,XC698040,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9574,XC698040,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9766,XC698040,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9751,XC698040,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9967,XC698040,,,,,,,,
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.9741,XC698040,,,,,,,,
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.9901,XC698040,,,,,,,,
3.0,6.0,Phylloscopus inornatus,Yellow-browed Warbler,0.9927,XC446149,,,,,,,,
12.0,15.0,Phylloscopus inornatus,Yellow-browed Warbler,0.976,XC446149,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9902,XC446149,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9913,XC446149,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.997,XC446149,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9969,XC446149,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9979,XC446149,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9974,XC446149,,,,,,,,
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.9923,XC446149,,,,,,,,
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.9839,XC446149,,,,,,,,
42.0,45.0,Phylloscopus humei,Hume's Warbler,0.9854,XC446149,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9861,XC145184,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9622,XC145184,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.969,XC145184,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9904,XC145184,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9979,XC145184,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9849,XC145184,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9947,XC145184,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.986,XC145184,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9624,XC145184,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9621,XC145184,,,,,,,,
36.0,39.0,Phylloscopus humei,Hume's Warbler,0.9967,XC145184,,,,,,,,
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.9956,XC145184,,,,,,,,
42.0,45.0,Phylloscopus humei,Hume's Warbler,0.9642,XC145184,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.992,XC698042,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9973,XC698042,,,,,,,,
12.0,15.0,Phylloscopus humei,Hume's Warbler,0.9936,XC698042,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9946,XC698042,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9747,XC698042,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.9719,XC698042,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.991,XC698042,,,,,,,,
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.9893,XC698042,,,,,,,,
45.0,48.0,Phylloscopus humei,Hume's Warbler,0.9859,XC698042,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9724,XC786079,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9702,XC786079,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.936,XC786079,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9311,XC786079,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9876,XC786079,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9379,XC786079,,,,,,,,
39.0,42.0,Phylloscopus humei,Hume's Warbler,0.9415,XC786079,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9373,XC128097,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9636,XC128097,,,,,,,,
9.0,12.0,Phylloscopus humei,Hume's Warbler,0.9076,XC128097,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9463,XC128097,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9674,XC128097,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9576,XC128097,,,,,,,,
45.0,48.0,Phylloscopus humei,Hume's Warbler,0.9412,XC128097,,,,,,,,
60.0,63.0,Phylloscopus humei,Hume's Warbler,0.9372,XC128097,,,,,,,,
63.0,66.0,Phylloscopus humei,Hume's Warbler,0.9066,XC128097,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9697,XC782350,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9188,XC782350,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9548,XC782350,,,,,,,,
18.0,21.0,Phylloscopus humei,Hume's Warbler,0.9049,XC782350,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9824,XC782350,,,,,,,,
27.0,30.0,Alectoris rufa,Red-legged Partridge,0.9038,XC782350,,,,,,,,
57.0,60.0,Phylloscopus humei,Hume's Warbler,0.9584,XC782350,,,,,,,,
60.0,63.0,Phylloscopus humei,Hume's Warbler,0.9044,XC782350,,,,,,,,
63.0,66.0,Phylloscopus humei,Hume's Warbler,0.9823,XC782350,,,,,,,,
66.0,69.0,Phylloscopus humei,Hume's Warbler,0.9267,XC782350,,,,,,,,
69.0,72.0,Phylloscopus humei,Hume's Warbler,0.9869,XC782350,,,,,,,,
72.0,75.0,Phylloscopus humei,Hume's Warbler,0.9535,XC782350,,,,,,,,
75.0,78.0,Phylloscopus humei,Hume's Warbler,0.9083,XC782350,,,,,,,,
78.0,81.0,Phylloscopus humei,Hume's Warbler,0.9056,XC782350,,,,,,,,
81.0,84.0,Phylloscopus humei,Hume's Warbler,0.9351,XC782350,,,,,,,,
87.0,90.0,Phylloscopus humei,Hume's Warbler,0.9626,XC782350,,,,,,,,
3.0,6.0,Phylloscopus humei,Hume's Warbler,0.9922,XC162535,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9849,XC162535,,,,,,,,
