Start (s),End (s),Scientific name,Common name,Confidence,File
417.0,420.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5366,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
441.0,444.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5673,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
444.0,447.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.8252,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
444.0,447.0,Luscinia phaenicuroides,White-bellied Redstart,0.7795,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
450.0,453.0,Luscinia phaenicuroides,White-bellied Redstart,0.8785,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
456.0,459.0,Luscinia phaenicuroides,White-bellied Redstart,0.8003,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
465.0,468.0,Luscinia phaenicuroides,White-bellied Redstart,0.5179,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
468.0,471.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5633,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
471.0,474.0,Luscinia phaenicuroides,White-bellied Redstart,0.9724,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
480.0,483.0,Luscinia phaenicuroides,White-bellied Redstart,0.8470,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
483.0,486.0,Luscinia phaenicuroides,White-bellied Redstart,0.6809,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
483.0,486.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5973,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
489.0,492.0,Luscinia phaenicuroides,White-bellied Redstart,0.9581,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
489.0,492.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6623,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
492.0,495.0,Luscinia phaenicuroides,White-bellied Redstart,0.7559,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
507.0,510.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.8331,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
510.0,513.0,Phylloscopus occipitalis,Western Crowned Warbler,0.8251,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
513.0,516.0,Luscinia phaenicuroides,White-bellied Redstart,0.5937,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
516.0,519.0,Luscinia phaenicuroides,White-bellied Redstart,0.6058,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
519.0,522.0,Zosterops lateralis,Silvereye,0.6181,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
522.0,525.0,Luscinia phaenicuroides,White-bellied Redstart,0.9849,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
522.0,525.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5696,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
531.0,534.0,Luscinia phaenicuroides,White-bellied Redstart,0.9523,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
531.0,534.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5195,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
540.0,543.0,Luscinia phaenicuroides,White-bellied Redstart,0.6974,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
546.0,549.0,Luscinia phaenicuroides,White-bellied Redstart,0.7106,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
549.0,552.0,Luscinia phaenicuroides,White-bellied Redstart,0.7317,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
558.0,561.0,Luscinia phaenicuroides,White-bellied Redstart,0.7840,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
561.0,564.0,Luscinia phaenicuroides,White-bellied Redstart,0.7079,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
567.0,570.0,Luscinia phaenicuroides,White-bellied Redstart,0.6138,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
570.0,573.0,Luscinia phaenicuroides,White-bellied Redstart,0.6429,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
573.0,576.0,Luscinia phaenicuroides,White-bellied Redstart,0.8234,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
573.0,576.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5370,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
