Start (s),End (s),Scientific name,Common name,Confidence,File
570.0,573.0,Phylloscopus trochiloides,Greenish Warbler,0.6133,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
585.0,588.0,Phylloscopus trochiloides,Greenish Warbler,0.5361,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
588.0,591.0,Phylloscopus trochiloides,Greenish Warbler,0.5206,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
591.0,594.0,Phylloscopus trochiloides,Greenish Warbler,0.6741,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
594.0,597.0,Phylloscopus trochiloides,Greenish Warbler,0.7782,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
594.0,597.0,Phylloscopus nitidus,Green Warbler,0.6030,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
606.0,609.0,Phylloscopus trochiloides,Greenish Warbler,0.5155,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
609.0,612.0,Phylloscopus trochiloides,Greenish Warbler,0.7557,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
633.0,636.0,Phylloscopus trochiloides,Greenish Warbler,0.9425,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
639.0,642.0,Phylloscopus trochiloides,Greenish Warbler,0.6764,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/High/PSH7\20240619_050000.WAV
