Start (s),End (s),Scientific name,Common name,Confidence,File
621.0,624.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7098,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
693.0,696.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5568,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
780.0,783.0,Phylloscopus nitidus,Green Warbler,0.9724,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
780.0,783.0,Phylloscopus trochiloides,Greenish Warbler,0.6410,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
789.0,792.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7935,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
795.0,798.0,Trochalopteron variegatum,Variegated Laughingthrush,0.7382,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
816.0,819.0,Phylloscopus nitidus,Green Warbler,0.9200,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
837.0,840.0,Phylloscopus nitidus,Green Warbler,0.5388,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
837.0,840.0,Trochalopteron variegatum,Variegated Laughingthrush,0.5058,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
843.0,846.0,Phylloscopus nitidus,Green Warbler,0.7543,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
858.0,861.0,Trochalopteron variegatum,Variegated Laughingthrush,0.8270,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
870.0,873.0,Trochalopteron variegatum,Variegated Laughingthrush,0.9831,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
885.0,888.0,Trochalopteron variegatum,Variegated Laughingthrush,0.6943,C:/Users/shang/OneDrive/Documents/02_personal/04_education/01_GT_MS/01_courses/2025/haag research/audio/mid_elevation/PSM9\20240617_050000.WAV
