Start (s),End (s),Scientific name,Common name,Confidence,File
687.0,690.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3724,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
690.0,693.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.4097,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
693.0,696.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.4571,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
693.0,696.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3201,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
699.0,702.0,Phylloscopus occipitalis,Western Crowned Warbler,0.4691,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
699.0,702.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1736,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
699.0,702.0,Larvivora brunnea,Indian Blue Robin,0.1026,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
702.0,705.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.3719,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
705.0,708.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.2957,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
708.0,711.0,Larvivora brunnea,Indian Blue Robin,0.1759,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
708.0,711.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1331,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
708.0,711.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1232,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
711.0,714.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3722,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
711.0,714.0,Larvivora brunnea,Indian Blue Robin,0.1174,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
714.0,717.0,Phylloscopus occipitalis,Western Crowned Warbler,0.4859,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
717.0,720.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1870,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
717.0,720.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1174,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
723.0,726.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.2806,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
723.0,726.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1185,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
729.0,732.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5523,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
732.0,735.0,Larvivora brunnea,Indian Blue Robin,0.1141,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
732.0,735.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1088,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
735.0,738.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1216,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
735.0,738.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1207,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
738.0,741.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6327,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
738.0,741.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1840,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
744.0,747.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1119,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
759.0,762.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1410,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
765.0,768.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.2711,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
765.0,768.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2643,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
765.0,768.0,Larvivora brunnea,Indian Blue Robin,0.1007,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
768.0,771.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.2532,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
768.0,771.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2144,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
768.0,771.0,Larvivora brunnea,Indian Blue Robin,0.1111,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
774.0,777.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1200,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
777.0,780.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1465,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
780.0,783.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3030,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
780.0,783.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1386,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
783.0,786.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3845,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
786.0,789.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3131,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
789.0,792.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1899,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
798.0,801.0,Phylloscopus occipitalis,Western Crowned Warbler,0.4063,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
798.0,801.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1096,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
804.0,807.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1542,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
807.0,810.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5597,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
807.0,810.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1352,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
813.0,816.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1437,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
816.0,819.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3445,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
819.0,822.0,Phylloscopus occipitalis,Western Crowned Warbler,0.4495,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
819.0,822.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1368,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
822.0,825.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1556,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
822.0,825.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1223,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
825.0,828.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3631,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
825.0,828.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1320,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
834.0,837.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3787,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
834.0,837.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1265,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
846.0,849.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2185,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
846.0,849.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1736,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
852.0,855.0,Larvivora brunnea,Indian Blue Robin,0.1511,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
852.0,855.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1354,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
852.0,855.0,Phylloscopus tytleri,Tytler's Leaf Warbler,0.1307,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
855.0,858.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1510,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
861.0,864.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1070,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
876.0,879.0,Phylloscopus occipitalis,Western Crowned Warbler,0.3686,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
882.0,885.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7119,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
885.0,888.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1535,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
888.0,891.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2555,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
897.0,900.0,Phylloscopus occipitalis,Western Crowned Warbler,0.1975,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_050000.WAV
3.0,6.0,Phylloscopus occipitalis,Western Crowned Warbler,0.2801,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_060000.WAV
6.0,9.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1291,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_060000.WAV
12.0,15.0,Larvivora brunnea,Indian Blue Robin,0.1060,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_060000.WAV
12.0,15.0,Lophorina superba,Greater Lophorina,0.1024,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Low/PSL1\20240615_060000.WAV
