Start (s),End (s),Scientific name,Common name,Confidence,File
543.0,546.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1456,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
543.0,546.0,Phylloscopus trochiloides,Greenish Warbler,0.1180,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
546.0,549.0,Phylloscopus nitidus,Green Warbler,0.1369,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
546.0,549.0,Phylloscopus trochiloides,Greenish Warbler,0.1281,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
549.0,552.0,Phylloscopus nitidus,Green Warbler,0.9411,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
549.0,552.0,Phylloscopus trochiloides,Greenish Warbler,0.8807,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
552.0,555.0,Phylloscopus trochiloides,Greenish Warbler,0.2845,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
555.0,558.0,Phylloscopus trochiloides,Greenish Warbler,0.5661,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
555.0,558.0,Phylloscopus nitidus,Green Warbler,0.2701,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
555.0,558.0,Phylloscopus humei,Hume's Warbler,0.1004,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
558.0,561.0,Phylloscopus trochiloides,Greenish Warbler,0.1598,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
561.0,564.0,Phylloscopus trochiloides,Greenish Warbler,0.4543,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
561.0,564.0,Phylloscopus nitidus,Green Warbler,0.1088,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
564.0,567.0,Phylloscopus trochiloides,Greenish Warbler,0.3234,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
567.0,570.0,Phylloscopus trochiloides,Greenish Warbler,0.3824,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
567.0,570.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.1602,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
567.0,570.0,Phylloscopus claudiae,Claudia's Leaf Warbler,0.1374,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
570.0,573.0,Phylloscopus trochiloides,Greenish Warbler,0.6497,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
573.0,576.0,Phylloscopus trochiloides,Greenish Warbler,0.6171,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
576.0,579.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1401,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
579.0,582.0,Phylloscopus nitidus,Green Warbler,0.1166,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
579.0,582.0,Phylloscopus trochiloides,Greenish Warbler,0.1002,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
582.0,585.0,Phylloscopus trochiloides,Greenish Warbler,0.6434,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
582.0,585.0,Phylloscopus nitidus,Green Warbler,0.2069,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
585.0,588.0,Phylloscopus nitidus,Green Warbler,0.1876,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
585.0,588.0,Phylloscopus trochiloides,Greenish Warbler,0.1191,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
588.0,591.0,Phylloscopus trochiloides,Greenish Warbler,0.2828,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
588.0,591.0,Phylloscopus nitidus,Green Warbler,0.1494,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
588.0,591.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1175,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
591.0,594.0,Phylloscopus trochiloides,Greenish Warbler,0.1381,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
594.0,597.0,Phylloscopus trochiloides,Greenish Warbler,0.3830,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
594.0,597.0,Phylloscopus nitidus,Green Warbler,0.2082,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
