Start (s),End (s),Scientific name,Common name,Confidence,File
135.0,138.0,Tarsiger rufilatus,Himalayan Bluetail,0.2076,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
135.0,138.0,Zosterops simplex,Swinhoe's White-eye,0.1619,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
135.0,138.0,Phylloscopus humei,Hume's Warbler,0.1492,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
150.0,153.0,Zosterops simplex,Swinhoe's White-eye,0.6205,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
156.0,159.0,Tarsiger rufilatus,Himalayan Bluetail,0.2058,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
156.0,159.0,Phylloscopus humei,Hume's Warbler,0.1255,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
162.0,165.0,Zosterops japonicus,Warbling White-eye,0.1119,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
165.0,168.0,Zosterops simplex,Swinhoe's White-eye,0.2621,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
168.0,171.0,Tarsiger rufilatus,Himalayan Bluetail,0.1458,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
168.0,171.0,Phylloscopus humei,Hume's Warbler,0.1291,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
174.0,177.0,Phylloscopus humei,Hume's Warbler,0.2486,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
177.0,180.0,Phylloscopus humei,Hume's Warbler,0.1239,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
183.0,186.0,Phylloscopus humei,Hume's Warbler,0.2466,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
189.0,192.0,Zosterops simplex,Swinhoe's White-eye,0.4546,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
192.0,195.0,Zosterops japonicus,Warbling White-eye,0.1901,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
195.0,198.0,Zosterops simplex,Swinhoe's White-eye,0.6044,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
195.0,198.0,Phylloscopus humei,Hume's Warbler,0.2253,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
195.0,198.0,Zosterops japonicus,Warbling White-eye,0.1552,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
